OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,STRZUSTAND,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,Teilnehmer,color,symbol
63765,9,1,62,0,2016,2,18,7,3,0,3,2,0,1,1,0,0,0,0,684288.2922,5335411.6292,11.477546895,48.14523762,1,#66c2a5,bicycle
63766,9,1,88,120,2016,2,17,2,2,6,2,2,0,0,1,1,0,0,0,677354229.0,5326451884.0,11.380687066,48.066667376,2,#fc8d62,car
63771,9,1,85,131,2016,2,23,4,2,8,1,2,1,0,1,0,0,0,0,666590.2853,5371712.4943,11.254151482,48.476455143,2,#fc8d62,car
63773,9,7,71,130,2016,2,14,4,3,1,6,0,1,0,1,0,0,0,0,645369.2962,5358121.0854,10.962485594,48.359516124,2,#fc8d62,car
63776,9,7,77,145,2016,2,21,3,3,8,1,2,1,0,1,0,0,0,0,629360.0024,5326945.9715,10.736957273,48.082651831,2,#fc8d62,car
63778,9,7,61,0,2016,2,14,4,3,6,4,0,0,0,1,1,0,0,0,642657.2205,5358943.0127,10.926173019,48.36752513,2,#fc8d62,car
63779,9,1,75,133,2016,2,13,3,3,8,6,0,1,0,0,0,0,1,1,709761797.0,5342391.0064,11.823047926,48.200066493,5,#a6d854,bus
63799,9,1,62,0,2016,2,18,2,3,6,7,2,0,0,1,1,0,0,0,678929536.0,5338757687.0,11.406978868,48.176845118,2,#fc8d62,car
63801,9,1,83,123,2016,2,19,3,3,5,3,2,0,0,1,0,0,0,0,737444.7478,5339861.8678,12.193635756,48.167601736,2,#fc8d62,car
63813,9,1,86,143,2016,2,10,7,3,8,1,0,1,0,1,0,0,0,0,684436.3262,5382585.4526,11.500208976,48.569198754,2,#fc8d62,car
63817,9,7,73,182,2016,2,9,5,3,2,2,0,0,0,1,0,0,0,1,630383.0007,5376795.5558,10.76609019,48.530713969,2,#fc8d62,car
63820,9,1,88,113,2016,2,14,1,2,9,7,0,0,0,1,0,0,0,0,680264307.0,5315925.8413,11.415288107,47.971231608,2,#fc8d62,car
63821,9,1,62,0,2016,2,23,5,3,2,6,2,0,0,1,0,0,0,0,688690.0282,5331696.8163,11.535019056,48.110557973,2,#fc8d62,car
63825,9,1,74,115,2016,2,10,5,2,4,1,0,0,0,1,0,0,0,0,681094.2019,5348714.6878,11.440323777,48.265732259,2,#fc8d62,car
63834,9,1,84,138,2016,2,19,6,3,5,3,2,0,1,1,0,0,0,0,680652.7425,5330472468.0,11.426623721,48.101882754,1,#66c2a5,bicycle
63836,9,7,61,0,2016,2,7,2,3,2,6,0,0,0,1,0,0,0,0,637390.3099,5359472.1812,10.855271035,48.373451803,2,#fc8d62,car
63838,9,1,74,113,2016,2,19,1,3,5,3,2,1,0,1,0,0,0,0,679197626.0,5343323.32,11.41250906,48.217809586,2,#fc8d62,car
63851,9,1,75,139,2016,2,9,4,3,9,7,0,1,0,1,0,0,0,0,710998045.0,5328390.9388,11.832730222,48.073853203,2,#fc8d62,car
63854,9,1,87,177,2016,2,11,3,3,8,1,0,1,0,1,0,0,0,0,736284531.0,5305415.6437,12.15907886,47.858589993,2,#fc8d62,car
63860,9,1,75,132,2016,2,12,2,3,5,2,0,0,0,1,0,0,0,0,707237.2477,5336756.6403,11.786366824,48.150263601,2,#fc8d62,car
63863,9,1,87,182,2016,2,13,6,3,2,2,0,0,0,1,0,0,0,0,738521134.0,5328444435.0,12.201704694,48.064637014,2,#fc8d62,car
63870,9,7,62,0,2016,2,16,3,3,2,6,0,0,0,1,0,0,0,0,618306.5003,5303347.4882,10.582101011,47.87255976,2,#fc8d62,car
63872,9,1,75,122,2016,2,15,3,3,5,6,0,1,0,1,0,0,0,0,720941.7772,5326246.3106,11.964939739,48.051216874,2,#fc8d62,car
63874,9,2,61,0,2016,2,13,2,3,1,6,0,0,0,1,0,0,0,0,732820.7592,5378439.3275,12.152861344,48.515857247,2,#fc8d62,car
63883,9,7,61,0,2016,2,14,4,3,0,6,0,0,0,1,0,0,0,1,637241.9126,5359490.6061,10.853274235,48.373649769,2,#fc8d62,car
63884,9,1,78,143,2016,2,18,4,3,5,3,2,0,0,1,0,0,0,0,717481164.0,5372123729.0,11.942140742,48.464613976,2,#fc8d62,car
63890,9,1,79,126,2016,2,10,1,3,2,6,0,0,1,1,0,0,0,0,675876.3415,5340589.8678,11.366702184,48.194167363,1,#66c2a5,bicycle
63894,9,1,87,177,2016,2,14,7,3,1,6,0,1,0,1,0,0,0,0,735050558.0,5305095196.0,12.142432468,47.856163633,2,#fc8d62,car
63895,9,1,87,134,2016,2,14,5,2,4,6,0,2,0,1,0,1,0,0,736033333.0,5320585.0186,12.164034568,47.994957964,2,#fc8d62,car
63898,9,7,73,122,2016,2,6,5,3,4,6,1,1,0,1,0,0,0,0,626887.5931,5383852.4622,10.720918054,48.594887857,2,#fc8d62,car
63901,9,1,84,127,2016,2,6,5,3,8,1,2,2,0,1,0,0,0,0,702177.9139,5320866.6635,11.710904316,48.009089383,2,#fc8d62,car
63909,9,7,71,111,2016,2,6,2,2,8,7,2,0,0,1,0,0,1,0,658643.9975,5357090.4522,11.141180938,48.347054621,2,#fc8d62,car
63923,9,1,79,123,2016,2,23,6,3,3,6,2,0,0,1,0,0,0,0,676316.8446,5334931.8142,11.370278413,48.143183806,2,#fc8d62,car
63924,9,1,78,120,2016,2,7,2,3,2,6,0,0,0,1,0,0,0,0,695286.5033,5355511.1394,11.634511737,48.32259781,2,#fc8d62,car
63926,9,1,74,113,2016,2,19,7,3,2,6,2,1,0,1,0,0,0,0,678584.6877,5349908.6743,11.407042472,48.277177201,2,#fc8d62,car
63927,9,1,62,0,2016,2,7,4,3,4,2,0,0,0,1,0,0,0,0,689446.4801,5340680.3873,11.549169983,48.191078211,2,#fc8d62,car
63929,9,1,78,124,2016,2,7,5,3,1,6,0,1,0,1,0,0,0,0,703334.7808,5361054.0009,11.745636264,48.369870783,2,#fc8d62,car
63934,9,2,74,126,2016,2,7,4,3,4,6,0,1,0,1,0,0,1,0,733645.3246,5385885.9474,12.168186923,48.58244088,2,#fc8d62,car
