OBJECTID,UIDENTSTLA,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,Teilnehmer,color,symbol
190138,"9,21E+18",9,1,84,149,2021,2,17,4,3,5,3,2,0,1,0,1,0,0,692218.909306,5349746.6886,11.590548606,48.271729843,1,2,#fc8d62,car
190143,"9,21E+18",9,1,84,130,2021,1,7,4,3,0,1,0,1,0,0,0,0,0,698612.745869,5343776.71196,11.673823014,48.216105169,1,1,#66c2a5,bicycle
190144,"9,21E+18",9,7,61,0,2021,2,15,6,3,3,1,0,1,0,0,0,0,0,641528.913277,5358100.04241,10.910663726,48.36019948,0,1,#66c2a5,bicycle
190147,"9,21E+18",9,1,84,134,2021,1,11,6,2,5,3,0,1,1,0,0,0,0,693493.035036,5321624.08436,11.59492127,48.018585045,0,1,#66c2a5,bicycle
190151,"9,21E+18",9,1,62,0,2021,1,6,3,3,5,3,2,1,1,0,0,0,0,686798.838001,5336658517,11.511812137,48.155712815,1,1,#66c2a5,bicycle
190153,"9,21E+18",9,1,83,135,2021,1,9,3,3,8,1,0,0,0,0,0,0,1,742386.764055,5347390.54746,12.264293443,48.233361627,2,6,#ffd92f,circle
190154,"9,21E+18",9,1,62,0,2021,1,12,2,3,0,2,0,0,1,0,0,0,1,688418.377909,5332388.96881,11.531678958,48.116859605,0,2,#fc8d62,car
190155,"9,21E+18",9,1,84,149,2021,1,18,6,3,6,2,2,0,1,1,0,0,0,690709.928559,5350910.29812,11.570758277,48.28264415,1,2,#fc8d62,car
190156,"9,21E+18",9,1,78,124,2021,1,17,6,3,2,6,2,0,1,0,0,0,0,703385.927001,5364781.96,11.748130439,48.403354589,0,2,#fc8d62,car
190158,"9,21E+18",9,1,79,123,2021,1,15,2,3,1,5,0,0,1,0,0,0,0,676181.158442,5333506.44491,11.367866391,48.130408354,0,2,#fc8d62,car
190159,"9,21E+18",9,1,73,126,2021,1,17,1,2,6,4,2,0,1,1,0,0,0,685458.481971,5303699.45433,11.479556499,47.85984628,2,2,#fc8d62,car
