OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,Teilnehmer,color,symbol
54025,9,1,82,133,2019,2,18,4,3,8,1,2,0,1,0,0,0,0,703580.385572,5308414.56905,11.723795629,47.896736541,1,2,#fc8d62,car
54030,9,1,87,169,2019,2,11,5,3,2,6,0,0,1,0,0,0,0,736849.05758,5299313.14545,12.16327784,47.803559113,0,2,#fc8d62,car
54035,9,1,79,123,2019,2,19,4,3,1,6,2,0,1,0,0,0,0,676992.000074,5332954.62247,11.378525161,48.125222941,0,2,#fc8d62,car
54038,9,1,87,150,2019,2,8,4,3,1,6,0,0,1,0,0,0,0,730301.332137,5303403.90584,12.078134834,47.842687718,0,2,#fc8d62,car
54043,9,1,81,135,2019,2,16,5,3,5,3,0,0,1,0,0,0,1,646520.002317,5310941.93668,10.961770504,47.935032593,1,2,#fc8d62,car
54053,9,1,62,0,2019,2,7,4,3,2,6,1,0,1,0,0,0,1,688840.851063,5339818.57302,11.540645915,48.183512542,1,2,#fc8d62,car
54057,9,1,62,0,2019,2,8,5,3,3,1,0,0,1,0,0,0,1,695284.455098,5344240.66064,11.629278959,48.221307754,1,2,#fc8d62,car
54061,9,2,61,0,2019,2,9,2,3,2,6,0,0,1,0,0,0,0,732715.307464,5378699.94636,12.151580918,48.518237401,1,2,#fc8d62,car
54063,9,7,61,0,2019,2,20,3,3,2,6,2,0,1,0,0,0,0,639545.742231,5352482.73564,10.882045199,48.310131264,0,2,#fc8d62,car
54071,9,1,84,142,2019,2,5,2,3,9,1,2,0,0,0,0,0,1,681186364,5318579584,11.428750334,47.994826075,1,6,#ffd92f,circle
54073,9,1,73,137,2019,2,20,2,3,9,1,2,0,1,0,0,0,0,675299.635379,5303821.82081,11.34390454,47.863798409,2,2,#fc8d62,car
54080,9,1,73,112,2019,2,14,2,2,4,1,0,0,1,0,0,1,0,691286.468516,5297220.3756,11.554535615,47.799900603,1,2,#fc8d62,car
54090,9,1,82,133,2019,2,3,2,3,3,6,2,0,0,0,0,1,0,703426394,5308644719,11.7218462,47.898853773,2,5,#a6d854,bus
54095,9,1,84,114,2019,2,11,2,3,2,6,0,0,1,0,0,0,0,700734.033113,5315606.71231,11.689107829,47.962271777,0,2,#fc8d62,car
54097,9,1,87,170,2019,2,7,5,3,2,6,0,0,1,0,0,0,0,734626.817301,5319043.34708,12.144367456,47.981625631,0,2,#fc8d62,car
54098,9,1,82,133,2019,2,11,2,3,2,6,0,0,0,0,0,1,0,707134.394551,5306184.57547,11.770219684,47.875558716,1,5,#a6d854,bus
54101,9,1,84,114,2019,2,10,2,3,1,6,0,0,1,0,0,1,0,701804.185925,5313187.44862,11.702292926,47.940192873,0,2,#fc8d62,car
54104,9,1,87,165,2019,2,10,2,3,3,3,0,0,1,0,0,0,0,729285.782579,5300275.6291,12.062925706,47.814944395,0,2,#fc8d62,car
54106,9,1,87,165,2019,2,15,2,3,3,6,0,0,1,0,0,1,0,731441.282883,5299879.53372,12.091465521,47.81061427,0,2,#fc8d62,car
54111,9,1,85,131,2019,2,19,4,3,1,1,2,0,1,0,0,0,0,665950.699574,5374139.97174,11.246468197,48.498446068,1,2,#fc8d62,car
54116,9,1,85,158,2019,2,7,2,3,4,6,1,0,1,0,0,0,0,669367.60083,5382014.79429,11.295884328,48.568322157,2,2,#fc8d62,car
54117,9,2,61,0,2019,2,8,7,3,0,7,0,1,0,0,0,0,0,730666.955188,5380937.01236,12.125121436,48.539088552,2,1,#66c2a5,bicycle
54118,9,1,88,139,2019,2,14,2,3,9,1,0,0,1,0,0,0,0,668595.215273,5319155.55699,11.260337029,48.003447806,2,2,#fc8d62,car
54119,9,2,61,0,2019,2,8,7,3,0,7,0,1,0,0,0,0,0,732398.215922,5380574.56677,12.148338055,48.535194096,2,1,#66c2a5,bicycle
54120,9,1,74,131,2019,2,19,5,2,4,6,2,0,1,0,0,0,0,677014.421526,5356546.20357,11.388681121,48.337282088,1,2,#fc8d62,car
54122,9,1,88,137,2019,2,17,2,3,4,1,0,0,1,0,0,0,0,673431.330967,5315250.04891,11.323542657,47.967044441,2,2,#fc8d62,car
54124,9,1,88,121,2019,2,7,2,3,5,3,0,0,1,0,0,0,0,671949838,5329723875,11.30952105,48.09756145,1,2,#fc8d62,car
54127,9,1,79,128,2019,2,13,2,3,8,1,0,0,1,0,0,0,0,658244.688386,5343083.56997,11.130549398,48.221225944,1,2,#fc8d62,car
54128,9,1,82,120,2019,2,13,7,3,2,6,0,0,1,0,0,0,0,703484.214707,5307159.69245,11.721918935,47.885489226,0,2,#fc8d62,car
54129,9,1,63,0,2019,2,9,7,2,0,3,0,1,1,0,0,0,0,733756.230639,5303288521,12.12417917,47.840404455,1,1,#66c2a5,bicycle
54130,9,1,74,131,2019,2,9,2,1,5,7,0,0,1,0,0,0,1,675656.790952,5357899.3154,11.370941598,48.349823977,2,2,#fc8d62,car
54131,9,1,82,127,2019,2,13,7,3,5,3,0,0,1,0,0,0,0,699996.015809,5309251.54383,11.676281254,47.905385946,1,2,#fc8d62,car
54133,9,1,87,117,2019,2,10,7,3,2,6,0,0,1,0,0,0,0,723464562,5306242493,11.988353636,47.870605311,0,2,#fc8d62,car
54134,9,1,84,119,2019,2,7,2,3,2,6,1,0,1,0,0,0,0,696341.151871,5349233.63878,11.645805303,48.265854594,1,2,#fc8d62,car
54136,9,1,84,129,2019,2,16,3,3,5,3,1,0,1,0,0,0,0,701758.740539,5326520.58856,11.707953388,48.060034112,2,2,#fc8d62,car
54138,9,1,78,130,2019,2,7,2,3,1,1,0,0,1,0,0,0,0,704053.070192,5356532.73007,11.753132661,48.329009814,2,2,#fc8d62,car
54139,9,1,62,0,2019,2,12,7,3,2,6,0,0,1,0,0,1,0,686913.530959,5333230.58609,11.511848337,48.124867826,0,2,#fc8d62,car
54141,9,1,75,131,2019,2,12,2,3,0,7,0,0,1,0,0,1,0,709592.38914,5323747.05101,11.811607895,48.032585536,0,2,#fc8d62,car
54142,9,1,81,128,2019,2,12,7,3,2,6,0,0,1,0,0,0,0,638566.812704,5326996.49013,10.860531065,48.081171409,0,2,#fc8d62,car
54143,9,1,75,116,2019,2,17,2,3,4,1,1,0,1,0,0,0,0,709092.865259,5321778.60725,11.803955008,48.015060111,2,2,#fc8d62,car
54144,9,1,78,145,2019,2,0,7,3,2,1,2,0,1,0,0,0,0,698004.695065,5356691.61898,11.671694807,48.332361258,0,2,#fc8d62,car
54145,9,1,77,117,2019,2,18,5,3,6,7,2,0,1,1,0,0,0,715972.006195,5353083.70727,11.911970466,48.294060759,1,2,#fc8d62,car
54146,9,1,78,143,2019,2,16,7,3,8,1,0,0,1,0,0,0,0,713796.734382,5372226.40664,11.892415984,48.466799317,0,2,#fc8d62,car
54147,9,1,62,0,2019,2,20,1,3,4,1,2,0,1,0,0,0,0,682396.971108,5334066.99816,11.451568631,48.133696186,2,2,#fc8d62,car
54148,9,1,75,124,2019,2,11,7,3,2,6,0,0,1,0,0,0,0,714170.032302,5329093.75609,11.875612385,48.079111324,1,2,#fc8d62,car
54150,9,1,84,120,2019,2,9,6,3,5,3,0,0,1,0,0,0,0,681579039,5331973537,11.439693474,48.115112327,1,2,#fc8d62,car
54152,9,1,62,0,2019,2,13,6,3,0,6,0,0,1,0,0,0,0,684091.5808,5335415.07243,11.474906383,48.145325523,1,2,#fc8d62,car
54154,9,1,84,129,2019,2,14,6,3,2,6,0,0,1,0,0,0,0,699256.711444,5324812.98783,11.673614821,48.045473617,0,2,#fc8d62,car
54158,9,7,78,216,2019,2,12,6,3,2,6,0,0,1,0,0,0,0,623133.201968,5321522.27151,10.651823551,48.03510782,0,2,#fc8d62,car
54161,9,7,78,203,2019,2,11,6,3,2,6,0,0,1,0,0,1,1,621988.295912,5322019.44642,10.636612876,48.039798899,0,2,#fc8d62,car
54168,9,7,77,112,2019,2,4,1,3,9,1,2,0,1,0,0,0,0,624280.95844,5296984.47955,10.660135526,47.81420462,2,2,#fc8d62,car
54170,9,7,77,112,2019,2,9,1,3,8,1,0,0,1,0,0,0,0,623121.989426,5297649.32424,10.644849626,47.820406881,2,2,#fc8d62,car
54175,9,7,72,121,2019,2,15,6,3,2,6,0,0,1,0,0,0,0,634761.258804,5376315.29691,10.82520937,48.525470728,0,2,#fc8d62,car
54177,9,7,61,0,2019,2,13,6,3,1,1,0,0,1,0,0,0,0,642794.496546,5358743.54573,10.927957724,48.365700579,0,2,#fc8d62,car
54189,9,7,72,147,2019,2,21,4,3,0,1,2,1,0,0,0,0,0,638977004,5365583745,10.878708519,48.428057832,2,1,#66c2a5,bicycle
54193,9,1,87,134,2019,2,22,4,3,8,1,2,0,1,0,0,0,0,736202.39094,5320353.8026,12.166170014,47.992818441,1,2,#fc8d62,car
54194,9,7,71,130,2019,2,21,1,3,3,6,2,0,1,0,0,0,0,644395.595298,5363132.03469,10.951070349,48.404794854,1,2,#fc8d62,car
54196,9,7,77,112,2019,2,7,4,3,2,6,0,0,1,0,0,0,0,622826.226614,5296660.19384,10.64061972,47.811567394,0,2,#fc8d62,car
54198,9,7,72,185,2019,2,21,1,2,8,1,2,0,1,0,0,0,0,635692.002541,5384048.53981,10.840330131,48.594804962,2,2,#fc8d62,car
54202,9,7,72,177,2019,2,1,1,3,8,1,2,0,1,0,0,0,0,635175.78762,5376824.92899,10.830986019,48.529964085,1,2,#fc8d62,car
54234,9,1,82,133,2019,2,16,1,3,2,6,0,0,1,0,0,0,0,704973.619879,5307386.60464,11.741926251,47.887054702,2,2,#fc8d62,car
54244,9,1,62,0,2019,2,12,3,3,2,6,0,0,1,0,0,0,1,687443.870591,5331671.12644,11.518282671,48.110695009,0,2,#fc8d62,car
54246,9,1,82,125,2019,2,16,1,3,4,1,1,0,1,0,0,0,0,715230.997649,5296350.35594,11.873479003,47.78452512,2,2,#fc8d62,car
54254,9,1,77,117,2019,2,14,5,3,4,2,0,0,1,0,0,0,0,714485.793696,5355425.59738,11.893148342,48.315608564,1,2,#fc8d62,car
