fid,OBJECTID,UIDENTSTLA,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,Teilnehmer,color,symbol
12094,173885,"9,20101400858244E+018",9,1,62,0,2020,10,9,4,2,5,2,0,1,1,0,0,0,0,684793.2429,5332527.2871,11.483077764,48.119165189,1,1,#66c2a5,bicycle
12095,173886,"9,20100900852344E+018",9,1,62,0,2020,10,13,6,2,6,4,0,1,0,1,0,0,0,693841.7685,5331557.4364,11.604095354,48.107758339,0,1,#66c2a5,bicycle
12096,173887,"9,20101100858243E+018",9,1,62,0,2020,10,12,1,3,3,6,0,0,1,0,0,0,1,697354.9935,5331823.82,11.65136377,48.109073719,0,2,#fc8d62,car
12097,173888,"9,20100900851143E+018",9,1,62,0,2020,10,9,6,3,1,1,0,1,1,0,0,0,0,691827.4094,5334644.3735,11.578451791,48.136113134,0,1,#66c2a5,bicycle
12098,173889,"9,20101100857145E+018",9,1,62,0,2020,10,20,1,3,4,2,2,0,1,0,0,0,0,686746.8,5330257449,11.508308257,48.098193083,0,2,#fc8d62,car
12099,173891,"9,20101100857143E+018",9,1,62,0,2020,10,14,1,3,6,4,0,0,1,1,0,0,0,694593.1263,5333577.2462,11.61510001,48.125682558,0,2,#fc8d62,car
12100,173892,"9,20101100852143E+018",9,1,62,0,2020,10,18,1,3,3,2,2,1,1,0,0,0,0,691659.4019,5332787.4637,11.575360786,48.119474065,1,1,#66c2a5,bicycle
12101,173896,"9,2010140085715E+018",9,1,62,0,2020,10,12,4,3,3,6,0,1,0,1,0,0,0,689229.1604,5336138.0218,11.544227105,48.15031607,1,1,#66c2a5,bicycle
12102,173905,"9,20101000858245E+018",9,1,62,0,2020,10,13,7,3,4,6,0,0,1,0,0,0,1,687380311,5339845.7939,11.521027777,48.184189652,1,2,#fc8d62,car
12103,173907,"9,20101000858244E+018",9,1,62,0,2020,10,15,7,2,0,1,0,0,0,0,0,0,1,691221.8085,5336649.4577,11.571220639,48.154316873,1,6,#ffd92f,circle
12104,173908,"9,20101000858244E+018",9,1,62,0,2020,10,12,7,3,5,2,0,1,1,0,0,0,0,690250.6835,5334745.8018,11.557325488,48.137498096,1,1,#66c2a5,bicycle
12105,173910,"9,20101000858243E+018",9,1,62,0,2020,10,23,7,3,1,1,2,0,1,0,0,0,1,690606.7167,5338956.2935,11.563992376,48.175235155,1,2,#fc8d62,car
12106,173912,"9,20101000857144E+018",9,1,62,0,2020,10,14,7,3,2,2,0,0,1,0,0,0,1,691650.9088,5333766.9289,11.575687157,48.128279949,1,2,#fc8d62,car
12107,173913,"9,20101400712543E+018",9,7,72,151,2020,10,20,4,2,0,1,2,1,0,0,0,0,0,631483088,5343061.3214,10.770430721,48.227137261,1,1,#66c2a5,bicycle
12108,173914,"9,20101000857143E+018",9,1,62,0,2020,10,9,7,3,6,4,0,0,1,1,0,0,0,690522338,5334954538,11.561066623,48.139292937,1,2,#fc8d62,car
12109,173915,"9,20101400710644E+018",9,7,61,0,2020,10,14,4,3,1,1,0,1,1,0,0,0,0,642611.0252,5357468.6809,10.925049909,48.354279064,0,1,#66c2a5,bicycle
12110,173917,"9,20101000851144E+018",9,1,62,0,2020,10,14,7,3,0,1,0,1,0,0,0,0,0,691211.3228,5334048.0984,11.569911689,48.130939274,1,1,#66c2a5,bicycle
12111,173919,"9,20101400857145E+018",9,1,62,0,2020,10,11,4,3,0,7,0,0,0,0,1,0,0,691920.6351,5333486579,11.579182084,48.125678939,1,4,#e78ac3,marker
12112,173921,"9,20101800858245E+018",9,1,62,0,2020,10,3,1,3,0,1,2,1,0,0,0,0,0,692210279,5335699535,11.584068949,48.145481198,1,1,#66c2a5,bicycle
12113,173922,"9,20101600854244E+018",9,1,62,0,2020,10,7,6,3,4,2,0,1,1,0,0,0,0,688706.0851,5336273.6081,11.537261521,48.151690135,1,1,#66c2a5,bicycle
12114,173923,"9,20102000857144E+018",9,1,62,0,2020,10,0,3,3,1,7,2,0,1,0,0,0,0,689101.5715,5332839.0287,11.541048933,48.1207023,0,2,#fc8d62,car
12115,173930,"9,20101800121544E+018",9,1,81,121,2020,10,0,1,3,0,1,2,1,0,0,0,0,0,636854.8679,5311115.4925,10.832489165,47.938730527,0,1,#66c2a5,bicycle
12116,173931,"9,20102000750147E+018",9,7,78,116,2020,10,15,3,3,4,6,0,1,0,0,1,0,0,619329.8149,5318133.0652,10.599878689,48.005348647,0,1,#66c2a5,bicycle
12117,173933,"9,20101900858245E+018",9,1,62,0,2020,10,16,2,3,0,7,0,1,0,0,0,0,0,691042.8063,5333186.1907,11.5672628,48.123243097,0,1,#66c2a5,bicycle
12118,173939,"9,20101700712544E+018",9,7,72,200,2020,10,13,7,3,5,3,0,0,1,0,0,0,0,629739.0769,5337354.4337,10.745214223,48.176176142,1,2,#fc8d62,car
12119,173942,"9,20101900857145E+018",9,1,62,0,2020,10,16,2,2,6,4,0,0,1,1,0,0,0,684257164,5337523146,11.478043103,48.164226053,0,2,#fc8d62,car
12120,173944,"9,20101900141344E+018",9,1,63,0,2020,10,7,2,3,5,2,1,1,1,0,0,0,0,733479521,5306005.2032,12.121952629,47.864911798,0,1,#66c2a5,bicycle
12121,173945,"9,20101600852944E+018",9,1,62,0,2020,10,12,6,3,2,6,0,0,1,0,0,0,0,688321.5031,5330667973,11.529618889,48.101419548,1,2,#fc8d62,car
12122,173946,"9,20102000858244E+018",9,1,62,0,2020,10,8,3,3,3,2,0,1,0,0,0,0,1,690920.9781,5334281.1761,11.566117912,48.133121319,0,1,#66c2a5,bicycle
12123,173952,"9,20102100110747E+018",9,1,78,113,2020,10,10,4,3,5,3,0,0,1,0,0,0,0,691164.78,5367079378,11.584226646,48.427826477,0,2,#fc8d62,car
12124,173954,"9,20101700710144E+018",9,7,71,113,2020,10,15,7,3,4,1,0,0,1,0,1,0,0,658629.7777,5363775.7049,11.143511873,48.407160607,1,2,#fc8d62,car
12125,173955,"9,20102000710446E+018",9,7,61,0,2020,10,13,3,3,3,2,0,1,1,0,0,0,0,640089.0028,5359056.5985,10.891554337,48.369121696,0,1,#66c2a5,bicycle
12126,173956,"9,20102000120144E+018",9,1,74,126,2020,10,12,3,3,5,3,0,0,1,0,0,0,1,682100.7843,5342668.8685,11.451276,48.211100505,0,2,#fc8d62,car
12127,173957,"9,20101900851246E+018",9,1,62,0,2020,10,15,2,3,5,3,0,1,1,0,0,0,0,692245.5599,5335552.5889,11.584476415,48.144149816,0,1,#66c2a5,bicycle
12128,173959,"9,20101900110944E+018",9,1,78,144,2020,10,7,2,3,4,6,0,1,0,0,0,0,1,707172.3844,5379778.1436,11.806656716,48.536872619,0,1,#66c2a5,bicycle
12129,173960,"9,20101600852744E+018",9,1,84,131,2020,10,13,6,2,5,3,0,1,1,0,0,0,0,704784141,5337779.7512,11.753916167,48.160252308,1,1,#66c2a5,bicycle
12130,173961,"9,20102000857145E+018",9,1,62,0,2020,10,21,3,3,2,6,2,0,1,0,0,0,0,690836.4323,5334651.5479,11.565148649,48.136475558,0,2,#fc8d62,car
12131,173968,"9,20101800858244E+018",9,1,62,0,2020,10,3,1,3,1,5,2,0,1,0,0,0,1,700891.4973,5335401.14,11.700506633,48.140117607,0,2,#fc8d62,car
12132,173969,"9,20101600852247E+018",9,1,62,0,2020,10,18,6,3,6,2,2,0,1,1,0,0,0,695856921,5338450.5584,11.634307364,48.16909363,1,2,#fc8d62,car
12133,173970,"9,20102000854845E+018",9,1,84,149,2020,10,15,3,3,5,3,0,1,1,0,0,0,0,690816096,5349516.5362,11.571558783,48.270085478,0,1,#66c2a5,bicycle
12134,173977,"9,20101700857146E+018",9,1,62,0,2020,10,20,7,3,6,2,2,0,1,1,0,0,0,694442.6877,5333025.6839,11.612828887,48.120771288,0,2,#fc8d62,car
12135,173979,"9,20101900711344E+018",9,7,61,0,2020,10,20,2,3,3,6,2,0,1,0,0,0,0,639209.1905,5358932.1315,10.879640123,48.368197188,1,2,#fc8d62,car
12136,173987,"9,20102100217547E+018",9,2,61,0,2020,10,17,4,3,3,2,0,0,1,0,0,0,0,732065129,5381629282,12.144420083,48.544791608,0,2,#fc8d62,car
12137,173989,"9,20101700711944E+018",9,7,72,163,2020,10,7,7,3,5,3,0,1,1,0,0,0,0,639951236,5347395718,10.885825635,48.264299955,0,1,#66c2a5,bicycle
12138,173990,"9,20102000711144E+018",9,7,61,0,2020,10,8,3,3,3,3,0,0,1,0,0,0,0,639231.8045,5360712.6129,10.880535005,48.384201836,0,2,#fc8d62,car
12139,173992,"9,20101900854744E+018",9,1,62,0,2020,10,11,2,3,0,7,0,0,0,1,0,0,1,692074.6594,5340013.8148,11.584195977,48.184297926,0,3,#8da0cb,toilet
12140,173994,"9,20102000161745E+018",9,1,90,158,2020,10,14,3,2,6,7,0,0,1,1,0,0,0,651892.7345,5304289.4661,11.031317879,47.873964774,0,2,#fc8d62,car
12141,173995,"9,20101900858245E+018",9,1,62,0,2020,10,16,2,3,5,2,0,1,1,0,0,0,0,688628.5523,5331664.4223,11.534179651,48.110285018,0,1,#66c2a5,bicycle
12142,173998,"9,20102000858245E+018",9,1,62,0,2020,10,19,3,3,4,2,2,0,1,0,1,0,0,690015.8045,5335752.9538,11.554620939,48.146620569,0,2,#fc8d62,car
12143,174004,"9,20101800858247E+018",9,1,62,0,2020,10,16,1,3,1,5,0,1,1,0,0,0,0,686719.0706,5334638.6014,11.509854692,48.137580611,0,1,#66c2a5,bicycle
12144,174005,"9,20101600852144E+018",9,1,62,0,2020,10,17,6,3,6,2,0,0,1,1,0,0,0,693696.8486,5333764853,11.603153289,48.127642039,1,2,#fc8d62,car
