OBJECTID,UIDENTSTLA,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstSonstig,ULICHTVERH,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,Teilnehmer,color,symbol
170595,"9,17E+18",9,7,61,0,2017,3,12,6,3,5,3,0,1,0,0,0,0,0,643202.2191,5362164.2243,10.934624951,48.396365096,2,#fc8d62,car
170596,"9,17E+18",9,7,61,0,2017,3,20,6,3,0,1,1,0,0,0,0,2,1,639506.5011,5355558.3472,10.882534025,48.337795261,1,#66c2a5,bicycle
170597,"9,17E+18",9,7,61,0,2017,3,17,6,3,2,7,1,1,0,0,0,0,0,640129.6782,5358309.8281,10.891854456,48.36239793,1,#66c2a5,bicycle
170598,"9,17E+18",9,7,71,113,2017,3,7,6,2,5,3,0,1,0,1,0,0,0,656977.9937,5368067.9868,11.122815083,48.446163199,2,#fc8d62,car
170599,"9,17E+18",9,7,71,114,2017,3,9,6,2,0,7,0,0,0,1,0,0,0,644423.8967,5375130.7169,10.955593416,48.512671287,4,#e78ac3,marker
170636,"9,17E+18",9,1,79,121,2017,3,17,6,3,0,7,1,0,0,0,0,0,1,666354.7037,5337385.1193,11.237422698,48.167922265,1,#66c2a5,bicycle
170637,"9,17E+18",9,1,88,113,2017,3,9,6,2,0,1,0,0,0,1,0,0,0,677580.9192,5311915.5964,11.377711458,47.935931675,4,#e78ac3,marker
170638,"9,17E+18",9,1,81,128,2017,3,12,6,3,5,3,1,1,0,0,0,0,0,638248.8389,5327815.7948,10.856529168,48.088607897,1,#66c2a5,bicycle
170639,"9,17E+18",9,1,79,121,2017,3,17,6,3,5,2,0,1,0,1,0,0,1,665779.6298,5338231.5409,11.23002428,48.175681921,2,#fc8d62,car
170640,"9,17E+18",9,1,79,121,2017,3,13,6,3,1,6,0,1,0,0,0,0,0,668299.9562,5338022.8179,11.263817155,48.173143036,2,#fc8d62,car
170641,"9,17E+18",9,1,79,114,2017,3,13,6,3,5,3,0,0,0,1,1,0,0,653426752.0,5344726803.0,11.066321844,48.237183645,4,#e78ac3,marker
170642,"9,17E+18",9,1,74,115,2017,3,5,6,3,5,3,0,1,0,0,0,0,0,681217.4811,5347886.4659,11.441628676,48.258252455,2,#fc8d62,car
170643,"9,17E+18",9,1,78,124,2017,3,20,6,3,2,6,0,1,0,0,0,2,0,704129.8101,5359106.8939,11.755414143,48.352117096,2,#fc8d62,car
170644,"9,17E+18",9,1,77,117,2017,3,14,6,3,1,6,0,1,0,0,0,0,0,715477.1307,5354377.4008,11.905967166,48.305853437,2,#fc8d62,car
170645,"9,17E+18",9,1,77,117,2017,3,7,6,3,0,7,1,0,1,0,0,0,0,714430.1765,5352802.3084,11.891066572,48.292056547,1,#66c2a5,bicycle
170646,"9,17E+18",9,1,62,0,2017,3,18,5,3,5,3,1,1,0,0,0,2,0,689863.4037,5336544.9661,11.552927416,48.153784687,1,#66c2a5,bicycle
170647,"9,17E+18",9,1,62,0,2017,3,10,5,3,5,3,0,1,0,0,1,0,0,692083812.0,5337285.1696,11.583086166,48.159770755,2,#fc8d62,car
170648,"9,17E+18",9,1,84,136,2017,3,7,5,3,5,2,1,1,0,0,0,0,0,698333.3998,5325557.1121,11.661584575,48.052448862,1,#66c2a5,bicycle
170649,"9,17E+18",9,1,62,0,2017,3,13,5,2,6,4,0,1,1,0,0,0,0,690445.6119,5334742081.0,11.559941316,48.137406347,2,#fc8d62,car
170650,"9,17E+18",9,1,62,0,2017,3,12,5,3,6,4,0,1,1,0,0,0,0,691471.4693,5337210.3313,11.574826522,48.159282804,2,#fc8d62,car
170651,"9,17E+18",9,1,62,0,2017,3,8,5,3,6,2,0,1,1,0,0,0,0,695691.6209,5329902.4107,11.62816072,48.092318136,2,#fc8d62,car
170652,"9,17E+18",9,1,62,0,2017,3,16,5,2,3,6,1,1,0,0,0,0,0,687465.0742,5335647.2553,11.520316377,48.146427315,1,#66c2a5,bicycle
170653,"9,17E+18",9,1,62,0,2017,3,8,5,3,5,3,1,1,0,0,0,0,0,693522.4932,5335191782.0,11.601460757,48.140519869,1,#66c2a5,bicycle
170654,"9,17E+18",9,1,62,0,2017,3,15,5,3,1,5,1,1,0,0,0,0,0,689365.8963,5334928.5731,11.545525755,48.13940477,1,#66c2a5,bicycle
170658,"9,17E+18",9,7,62,0,2017,3,12,5,3,5,3,0,1,0,1,0,0,0,621204.1433,5304660.5271,10.621203516,47.883828554,2,#fc8d62,car
170660,"9,17E+18",9,7,61,0,2017,3,16,5,3,6,2,0,1,1,0,0,0,0,639945.5316,5358948.6513,10.889582289,48.368182894,2,#fc8d62,car
170661,"9,17E+18",9,7,61,0,2017,3,17,5,3,1,5,0,1,0,1,0,0,0,640650.3609,5358749.8524,10.89902718,48.366238691,2,#fc8d62,car
170686,"9,17E+18",9,1,73,126,2017,3,17,3,2,5,3,1,0,0,1,0,0,0,683955.6785,5305965.7153,11.460448085,47.880649909,1,#66c2a5,bicycle
170689,"9,17E+18",9,1,63,0,2017,3,7,3,3,5,2,1,1,0,0,0,0,0,734358.4992,5304901.7884,12.133089756,47.854678789,1,#66c2a5,bicycle
170690,"9,17E+18",9,1,63,0,2017,3,17,3,3,0,1,1,0,0,0,0,0,0,733975.1776,5305144.3305,12.128104299,47.856997435,1,#66c2a5,bicycle
170693,"9,17E+18",9,1,79,142,2017,3,17,3,3,0,4,1,0,1,0,0,0,0,672295804.0,5342696305.0,11.319416828,48.214084672,1,#66c2a5,bicycle
170694,"9,17E+18",9,1,88,121,2017,3,15,3,2,2,6,0,1,0,0,0,0,0,670835.7672,5330181.3471,11.294753156,48.101973694,2,#fc8d62,car
170695,"9,17E+18",9,1,74,115,2017,3,8,3,3,2,6,0,1,0,0,0,0,0,680859.1134,5347690.6985,11.436721086,48.256595159,2,#fc8d62,car
170696,"9,17E+18",9,1,78,143,2017,3,10,3,3,0,7,1,0,0,0,0,0,0,716387.7156,5372247.8604,11.927432636,48.466106267,1,#66c2a5,bicycle
170697,"9,17E+18",9,1,78,113,2017,3,12,3,3,5,1,1,1,0,0,0,0,0,692099.8685,5367429.6976,11.597014522,48.430690433,1,#66c2a5,bicycle
170698,"9,17E+18",9,1,78,124,2017,3,10,3,3,0,1,1,0,0,0,0,0,0,703428.7291,5364500333.0,11.74857163,48.400810026,1,#66c2a5,bicycle
170699,"9,17E+18",9,1,77,117,2017,3,7,3,3,6,4,0,1,1,0,0,0,0,715768.5282,5353443.8884,11.909414651,48.297366425,2,#fc8d62,car
170700,"9,17E+18",9,1,62,0,2017,3,13,2,2,6,7,1,0,0,0,1,0,0,688063776.0,5338498.7284,11.529617799,48.171880108,1,#66c2a5,bicycle
170701,"9,17E+18",9,1,62,0,2017,3,17,2,3,3,6,0,1,0,1,0,0,0,692808.6849,5338397.5381,11.593327972,48.16954901,2,#fc8d62,car
170702,"9,17E+18",9,1,62,0,2017,3,9,2,3,5,3,0,1,0,0,0,0,0,690998.1046,5336437.6548,11.568120735,48.152480432,2,#fc8d62,car
170703,"9,17E+18",9,1,62,0,2017,3,9,2,3,6,2,0,1,1,0,0,0,0,690186.2029,5335441.5177,11.556770337,48.143770465,2,#fc8d62,car
170704,"9,17E+18",9,1,62,0,2017,3,9,2,3,0,7,0,0,0,1,0,0,0,686252.4622,5332258.1781,11.502548513,48.116321176,4,#e78ac3,marker
170705,"9,17E+18",9,1,62,0,2017,3,7,2,3,2,6,0,1,0,0,0,0,0,692109.4397,5339729.1543,11.584534716,48.181728957,2,#fc8d62,car
170706,"9,17E+18",9,1,62,0,2017,3,12,2,3,5,3,1,1,0,0,0,0,0,683317.5551,5337553.6207,11.465431768,48.164771607,1,#66c2a5,bicycle
170707,"9,17E+18",9,1,62,0,2017,3,8,2,2,6,4,0,1,1,0,0,0,0,698197802.0,5334690.3279,11.664006467,48.134574109,2,#fc8d62,car
170708,"9,17E+18",9,1,84,129,2017,3,7,2,3,4,2,1,1,0,0,0,0,0,698841.4253,5326057.1925,11.66862689,48.056785186,1,#66c2a5,bicycle
170709,"9,17E+18",9,1,62,0,2017,3,11,2,2,1,5,0,1,0,1,0,0,0,688528.4404,5335749.5153,11.534643291,48.147032197,2,#fc8d62,car
170710,"9,17E+18",9,1,62,0,2017,3,7,2,3,5,2,1,1,0,0,0,0,0,683129.42,5334838.2055,11.461735525,48.140417969,1,#66c2a5,bicycle
170711,"9,17E+18",9,1,62,0,2017,3,12,2,3,5,2,0,1,0,0,0,0,0,690367.8202,5333868.0151,11.558506171,48.129573523,2,#fc8d62,car
170712,"9,17E+18",9,1,62,0,2017,3,7,2,3,5,3,1,0,0,1,0,0,0,691347.9108,5337343.7964,11.573226729,48.160519562,1,#66c2a5,bicycle
170718,"9,17E+18",9,7,72,163,2017,3,17,2,3,1,6,0,1,0,0,0,0,0,640640.1974,5349229.3189,10.895714022,48.280634795,2,#fc8d62,car
170719,"9,17E+18",9,7,61,0,2017,3,16,2,3,0,7,1,0,0,0,0,0,0,639105.3925,5357832.8169,10.877875882,48.358335282,1,#66c2a5,bicycle
170720,"9,17E+18",9,7,61,0,2017,3,14,2,2,6,7,1,0,1,0,0,0,0,640248909.0,5357291776.0,10.893123937,48.353217427,1,#66c2a5,bicycle
170721,"9,17E+18",9,7,61,0,2017,3,8,2,3,2,6,0,1,0,0,0,0,0,640748.3233,5359244.6111,10.900514671,48.370665553,2,#fc8d62,car
