ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,Teilnehmer,color,symbol
9,2,74,165,2018,1,7,5,3,0,6,1,0,1,0,0,0,0,0,714834095.0,5385735038.0,11.913390919,48.587817528,2,#fc8d62,car
9,1,87,159,2018,1,7,2,3,3,6,0,0,1,0,0,1,0,0,729783.9128,5323746.6376,12.08208167,48.025638129,2,#fc8d62,car
9,1,74,146,2018,1,15,2,3,8,1,0,0,0,0,0,1,1,0,667639462.0,5350492.8223,11.259872759,48.285420891,5,#a6d854,bus
9,1,88,118,2018,1,17,2,3,6,6,2,0,1,1,0,0,0,0,671447.5598,5311666687.0,11.295559462,47.935364321,2,#fc8d62,car
9,1,79,123,2018,1,17,2,3,4,2,2,0,1,0,0,0,0,0,676630.3513,5334053.5871,11.374124993,48.135202255,2,#fc8d62,car
9,1,78,124,2018,1,15,2,3,2,6,0,0,1,0,0,1,0,0,701212.9694,5358053.3164,11.715584512,48.343585037,2,#fc8d62,car
9,1,77,117,2018,1,19,2,3,5,3,2,1,1,0,0,0,0,0,714997735.0,5351882.4578,11.898240468,48.283598976,1,#66c2a5,bicycle
9,1,84,145,2018,1,18,1,3,5,3,2,0,1,0,0,0,1,0,698271.6124,5324461.2057,11.660248705,48.042618708,2,#fc8d62,car
9,1,87,150,2018,1,17,4,3,1,6,2,0,1,0,0,0,0,0,727755.4084,5303208.3479,12.04405386,47.841837501,2,#fc8d62,car
9,1,84,148,2018,1,22,3,3,9,3,2,0,1,0,0,0,0,0,696355.2081,5326687.0502,11.635585609,48.063215902,2,#fc8d62,car
9,7,72,147,2018,1,9,1,3,3,7,0,0,1,0,0,0,0,0,637823.1768,5364122.2094,10.862639182,48.415169589,2,#fc8d62,car
9,7,72,141,2018,1,15,1,2,9,1,0,0,1,0,0,0,0,1,620137.2576,5349084553.0,10.619434592,48.283555926,2,#fc8d62,car
9,1,62,0,2018,1,13,3,3,2,6,0,0,1,0,0,0,0,0,682734.7721,5336253.7438,11.457043101,48.153255247,2,#fc8d62,car
9,7,72,178,2018,1,18,1,3,8,1,1,0,1,0,0,0,0,1,623287.2676,5344723.7919,10.660606888,48.243733998,2,#fc8d62,car
9,1,77,116,2018,1,6,3,3,5,3,2,0,1,0,0,1,0,0,711516.8857,5364240.4396,11.857582962,48.395813716,2,#fc8d62,car
9,7,61,0,2018,1,17,3,3,1,5,2,0,1,0,0,0,0,0,641515.0322,5357972.7008,10.910433608,48.359057585,2,#fc8d62,car
9,7,71,130,2018,1,17,2,3,2,6,2,0,1,0,0,0,0,0,644205929.0,5363173.8612,10.948523495,48.405214348,2,#fc8d62,car
9,1,87,181,2018,1,7,4,3,4,6,1,0,1,0,0,0,0,0,738988.0573,5313585.6104,12.199689701,47.930983853,2,#fc8d62,car
9,1,79,142,2018,1,21,1,3,8,1,2,0,1,0,0,0,0,0,677412.2487,5342392.9835,11.388105465,48.209948451,2,#fc8d62,car
9,1,74,146,2018,1,10,1,3,8,1,0,0,1,0,0,0,0,0,668199.3015,5350142.5739,11.267274151,48.282123765,2,#fc8d62,car
9,1,62,0,2018,1,23,7,3,9,1,2,0,1,0,0,0,0,1,688127003.0,5340203.1049,11.5312219,48.187180533,2,#fc8d62,car
9,1,62,0,2018,1,17,7,3,6,2,2,0,1,1,0,0,0,0,688597.9993,5335679.2447,11.535546385,48.146379977,2,#fc8d62,car
