Jahr,Monat,Wochentag,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige
2016,1,1,27,108,3,1,2,5
2016,1,2,52,216,4,2,4,6
2016,1,3,75,294,5,3,5,6
2016,1,4,114,407,10,5,6,8
2016,1,5,161,565,11,9,6,9
2016,1,6,183,680,13,10,7,11
2016,1,7,193,751,15,10,7,14
2016,2,1,236,882,17,13,9,17
2016,2,2,261,981,19,14,11,18
2016,2,3,293,1080,20,15,11,21
2016,2,4,317,1203,20,18,14,23
2016,2,5,346,1314,22,18,15,24
2016,2,6,368,1398,22,21,15,24
2016,2,7,373,1441,23,23,15,24
2016,3,1,410,1512,26,28,17,26
2016,3,2,448,1671,28,31,19,28
2016,3,3,488,1810,33,32,20,29
2016,3,4,542,1947,39,42,20,31
2016,3,5,571,2052,40,46,21,32
2016,3,6,596,2153,42,53,21,33
2016,3,7,618,2204,43,57,21,34
2016,4,1,677,2329,47,64,23,35
2016,4,2,744,2449,48,73,24,35
2016,4,3,806,2601,51,83,26,36
2016,4,4,877,2728,51,89,29,37
2016,4,5,939,2862,52,96,30,39
2016,4,6,996,2965,54,104,31,41
2016,4,7,1019,3037,54,116,31,41
2016,5,1,1090,3174,57,131,35,42
2016,5,2,1169,3316,59,140,36,44
2016,5,3,1250,3434,60,151,36,46
2016,5,4,1316,3539,61,169,36,46
2016,5,5,1391,3683,62,183,36,48
2016,5,6,1462,3765,62,201,37,48
2016,5,7,1526,3865,64,214,37,50
2016,6,1,1634,3994,68,228,37,52
2016,6,2,1742,4119,70,245,38,53
2016,6,3,1852,4258,72,256,39,56
2016,6,4,1966,4424,76,275,40,58
2016,6,5,2080,4562,78,300,42,60
2016,6,6,2135,4651,78,308,42,62
2016,6,7,2167,4718,80,317,42,62
2016,7,1,2266,4855,80,331,46,64
2016,7,2,2379,5002,85,338,47,65
2016,7,3,2463,5130,87,354,48,66
2016,7,4,2563,5262,91,363,48,70
2016,7,5,2717,5455,97,380,50,71
2016,7,6,2815,5585,97,398,50,72
2016,7,7,2894,5671,100,409,50,72
2016,8,1,3008,5792,104,417,54,73
2016,8,2,3113,5901,106,434,57,74
2016,8,3,3228,6042,107,453,57,76
2016,8,4,3306,6146,108,474,57,77
2016,8,5,3360,6253,109,480,57,80
2016,8,6,3427,6344,109,492,57,81
2016,8,7,3486,6406,110,509,57,81
2016,9,1,3558,6537,114,521,60,84
2016,9,2,3665,6643,118,532,61,86
2016,9,3,3775,6744,124,543,62,88
2016,9,4,3919,6914,128,566,64,90
2016,9,5,4067,7095,130,585,65,95
2016,9,6,4136,7223,131,597,65,96
2016,9,7,4182,7300,132,608,65,97
2016,10,1,4250,7427,135,617,66,100
2016,10,2,4301,7563,142,629,69,100
2016,10,3,4365,7685,148,634,70,103
2016,10,4,4419,7810,151,640,71,104
2016,10,5,4472,7927,154,652,72,106
2016,10,6,4518,8038,158,664,72,109
2016,10,7,4555,8143,158,669,72,112
2016,11,1,4598,8276,159,672,74,113
