Jahr,Monat,Wochentag,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige
2017,9,5,182,205,19,46,0,23
2017,9,6,136,147,11,30,0,17
2017,9,7,79,78,7,15,0,7
2017,10,1,192,218,29,32,0,40
2017,10,2,129,165,19,22,0,31
2017,10,3,132,166,20,24,0,39
2017,10,4,157,193,27,43,0,31
2017,10,5,209,244,38,30,0,44
2017,10,6,95,107,15,20,0,12
2017,10,7,108,108,18,18,0,9
2017,11,1,124,160,17,11,0,31
2017,11,2,134,157,19,10,0,34
2017,11,3,138,164,28,11,0,32
2017,11,4,142,174,18,20,0,32
2017,11,5,129,150,23,13,0,28
2017,11,6,104,106,20,9,0,16
2017,11,7,77,81,12,2,0,4
2017,12,1,125,140,20,4,0,26
2017,12,2,93,122,21,3,0,15
2017,12,3,120,136,9,4,0,32
2017,12,4,161,173,29,7,0,33
2017,12,5,174,197,27,3,0,36
2017,12,6,92,105,6,4,0,15
2017,12,7,94,98,10,7,0,5
2018,1,1,153,165,32,7,20,17
2018,1,2,127,147,20,11,12,14
2018,1,3,157,174,22,8,11,17
2018,1,4,90,110,20,2,8,11
2018,1,5,110,125,19,3,2,11
2018,1,6,78,85,10,3,2,3
2018,1,7,61,63,7,0,1,5
2018,2,1,105,114,15,4,12,13
2018,2,2,109,117,14,1,8,19
2018,2,3,132,142,13,6,14,15
2018,2,4,130,139,24,5,10,16
2018,2,5,112,120,12,3,8,12
2018,2,6,122,126,9,3,3,4
2018,2,7,66,70,10,0,0,8
2018,3,1,108,120,19,6,10,14
2018,3,2,116,125,16,10,11,13
2018,3,3,112,134,17,6,10,15
2018,3,4,132,152,20,12,13,19
2018,3,5,147,165,17,8,12,19
2018,3,6,103,110,17,2,3,16
2018,3,7,86,88,5,14,2,3
2018,4,1,155,186,18,40,14,15
2018,4,2,139,166,8,32,19,19
2018,4,3,137,179,17,44,10,14
2018,4,4,123,171,16,34,13,14
2018,4,5,159,196,21,38,11,22
2018,4,6,134,159,8,63,4,13
2018,4,7,116,127,6,44,2,13
2018,5,1,110,142,16,26,6,19
2018,5,2,163,204,21,45,14,38
2018,5,3,168,216,10,54,13,20
2018,5,4,132,157,15,27,6,20
2018,5,5,151,183,17,35,10,14
2018,5,6,123,135,14,49,4,13
2018,5,7,85,98,11,24,1,6
2018,6,1,140,175,14,43,14,15
2018,6,2,144,191,22,41,21,23
2018,6,3,136,173,15,46,16,27
2018,6,4,167,205,26,50,13,25
2018,6,5,183,241,26,48,11,31
2018,6,6,148,182,9,48,6,14
2018,6,7,88,96,4,36,0,6
2018,7,1,193,255,22,67,16,27
2018,7,2,173,209,26,59,18,34
2018,7,3,109,171,15,40,8,23
2018,7,4,160,200,21,59,10,38
2018,7,5,183,224,21,51,5,37
2018,7,6,110,131,12,33,6,9
2018,7,7,120,142,6,42,1,10
2018,8,1,105,124,14,29,19,14
2018,8,2,119,150,16,35,10,18
2018,8,3,134,163,12,50,13,23
2018,8,4,140,157,15,40,13,35
2018,8,5,191,206,14,61,9,23
2018,8,6,93,107,11,28,3,11
2018,8,7,74,79,3,28,1,7
2018,9,1,128,170,17,31,12,26
2018,9,2,124,156,17,32,9,17
2018,9,3,170,200,27,54,13,25
2018,9,4,165,208,21,44,21,18
2018,9,5,132,166,10,31,7,19
2018,9,6,115,138,13,34,2,10
2018,9,7,110,121,11,38,0,10
2018,10,1,163,213,29,26,10,24
2018,10,2,152,178,22,40,17,21
2018,10,3,169,210,27,41,9,18
2018,10,4,161,187,23,44,9,31
2018,10,5,169,209,14,46,13,27
2018,10,6,122,147,18,27,4,11
2018,10,7,95,102,6,32,2,5
2018,11,1,157,178,37,21,12,22
2018,11,2,141,169,33,14,21,18
2018,11,3,139,164,25,9,13,20
2018,11,4,132,156,18,18,11,22
2018,11,5,148,171,32,18,11,16
2018,11,6,86,98,11,6,4,9
2018,11,7,63,75,5,5,0,3
2018,12,1,151,155,33,12,9,13
2018,12,2,121,141,31,6,11,15
2018,12,3,100,113,18,3,10,20
2018,12,4,120,130,15,7,9,15
2018,12,5,113,122,17,6,5,12
2018,12,6,117,125,22,6,7,10
2018,12,7,78,80,10,2,1,5
2019,1,1,100,102,25,2,6,13
2019,1,2,109,120,20,2,15,14
2019,1,3,169,173,21,5,19,19
2019,1,4,150,163,22,5,8,15
2019,1,5,113,113,14,6,6,11
2019,1,6,83,88,9,3,7,4
2019,1,7,36,35,3,0,0,2
2019,2,1,125,139,15,8,17,20
2019,2,2,87,100,13,6,13,11
2019,2,3,85,97,15,6,8,14
2019,2,4,114,137,21,8,15,16
2019,2,5,136,150,14,6,15,14
2019,2,6,83,95,14,5,3,5
2019,2,7,73,82,7,3,1,7
2019,3,1,89,100,12,3,11,15
2019,3,2,91,106,13,9,9,18
2019,3,3,106,116,17,15,7,17
2019,3,4,118,144,18,16,4,25
2019,3,5,159,175,34,19,16,23
2019,3,6,119,139,15,25,2,12
2019,3,7,82,100,12,19,1,7
2019,4,1,140,151,16,35,12,27
2019,4,2,168,202,23,41,13,24
2019,4,3,110,138,13,34,6,19
2019,4,4,123,152,9,27,14,17
2019,4,5,85,103,15,18,7,9
2019,4,6,99,112,8,29,4,13
2019,4,7,61,68,4,19,0,2
2019,5,1,123,151,16,16,15,17
2019,5,2,144,158,16,19,15,16
2019,5,3,136,153,26,28,12,20
2019,5,4,130,141,24,39,12,22
2019,5,5,169,218,14,37,14,23
2019,5,6,107,117,6,26,5,10
2019,5,7,68,81,1,10,0,4
2019,6,1,138,165,21,52,9,23
2019,6,2,153,189,16,47,24,20
2019,6,3,147,179,20,62,14,28
2019,6,4,112,146,13,36,8,18
2019,6,5,148,185,18,60,10,18
2019,6,6,146,179,27,41,1,19
2019,6,7,119,134,11,40,1,12
2019,7,1,171,210,17,43,18,29
2019,7,2,199,272,26,75,25,41
2019,7,3,189,243,20,65,22,30
2019,7,4,140,195,22,64,7,16
2019,7,5,167,221,20,53,10,38
2019,7,6,125,143,14,41,4,21
2019,7,7,82,88,7,18,1,5
2019,8,1,112,124,13,27,12,14
2019,8,2,105,130,15,26,7,16
2019,8,3,101,115,9,35,9,14
2019,8,4,114,140,9,36,10,17
2019,8,5,145,167,16,49,11,23
2019,8,6,108,122,9,39,3,14
2019,8,7,97,98,5,46,1,15
2019,9,1,144,180,16,34,11,31
2019,9,2,138,162,25,40,15,17
2019,9,3,120,153,21,37,14,18
2019,9,4,111,131,26,33,5,16
2019,9,5,139,168,19,33,7,27
2019,9,6,117,120,13,34,1,18
2019,9,7,120,125,8,42,1,11
2019,10,1,128,156,20,14,11,17
2019,10,2,172,203,18,40,17,28
2019,10,3,174,216,22,27,15,28
2019,10,4,156,190,17,29,7,26
2019,10,5,152,176,19,27,14,27
2019,10,6,122,131,13,33,0,18
2019,10,7,78,79,3,30,0,7
2019,11,1,126,149,18,10,11,24
2019,11,2,112,155,16,14,12,14
2019,11,3,108,138,12,17,12,21
2019,11,4,138,168,17,18,13,25
2019,11,5,148,176,30,19,15,29
2019,11,6,105,116,16,14,2,15
2019,11,7,46,53,2,2,0,4
2019,12,1,147,166,26,10,10,25
2019,12,2,125,145,27,7,8,16
2019,12,3,102,120,20,9,10,12
2019,12,4,95,117,17,7,5,13
2019,12,5,135,154,23,7,13,19
2019,12,6,99,108,15,3,2,13
2019,12,7,93,96,12,4,0,11
2020,1,1,92,105,11,5,15,8
2020,1,2,106,120,17,8,13,15
2020,1,3,107,123,18,4,7,20
2020,1,4,145,163,19,13,9,17
2020,1,5,149,174,26,17,17,16
2020,1,6,70,71,14,4,1,5
2020,1,7,58,59,8,5,0,7
2020,2,1,102,119,18,5,16,11
2020,2,2,91,108,18,11,7,10
2020,2,3,77,82,13,5,7,11
2020,2,4,94,114,19,5,7,14
2020,2,5,108,120,13,2,8,16
2020,2,6,115,134,16,7,3,18
2020,2,7,53,55,7,3,1,8
2020,3,1,100,129,13,15,13,16
2020,3,2,70,92,10,4,5,16
2020,3,3,72,81,8,18,5,13
2020,3,4,63,80,13,15,3,12
2020,3,5,71,82,10,13,5,16
2020,3,6,44,55,2,9,0,3
2020,3,7,52,55,7,13,1,3
2020,4,1,46,53,4,13,6,8
2020,4,2,52,73,4,15,6,11
2020,4,3,76,94,5,17,8,14
2020,4,4,93,106,12,33,10,16
2020,4,5,40,61,5,11,1,10
2020,4,6,53,69,7,19,4,6
2020,4,7,36,38,7,14,0,12
2020,5,1,66,87,13,12,10,15
2020,5,2,87,101,12,32,13,14
2020,5,3,93,128,12,35,5,12
2020,5,4,67,82,10,27,6,11
2020,5,5,100,134,14,28,4,15
2020,5,6,74,91,8,20,2,12
